ID,名前,レア,画像ID,種類,CT,持続回数,属性,効果１,効果２,効果３,効果４,
Skill_999_001,ダメージ,0,001,アクティブ,2,2,物理,Effect_001_001,,,,
Skill_999_002,割合ダメージ,0,002,アクティブ,2,2,物理,Effect_001_101,,,,
Skill_999_003,回復,0,003,アクティブ,2,2,物理,Effect_002_001,,,,
Skill_999_004,割合回復,0,003,アクティブ,2,2,物理,Effect_002_101,,,,
Skill_999_005,バフ：物理攻撃,0,004,アクティブ,2,2,物理,Effect_003_101,,,,
Skill_999_006,バフ：物理防御,0,005,アクティブ,2,2,物理,Effect_003_201,,,,
Skill_999_007,バフ：魔法攻撃,0,006,アクティブ,2,2,物理,Effect_003_301,,,,
Skill_999_008,バフ：魔法防御,0,007,アクティブ,2,2,物理,Effect_003_401,,,,
Skill_999_009,バフ：WAIT,0,008,アクティブ,2,2,物理,Effect_003_501,,,,
Skill_999_010,デバフ：物理攻撃,1,009,アクティブ,2,2,物理,Effect_004_101,,,,
Skill_999_011,デバフ：物理防御,1,010,アクティブ,2,2,物理,Effect_004_201,,,,
Skill_999_012,デバフ：魔法攻撃,1,011,アクティブ,2,2,物理,Effect_004_301,,,,
Skill_999_013,デバフ：魔法防御,1,012,アクティブ,2,2,物理,Effect_004_401,,,,
Skill_999_014,デバフ：WAIT,1,013,アクティブ,2,2,物理,Effect_004_501,,,,
Skill_999_015,(バフキャンセル)：物理攻撃,1,014,アクティブ,2,2,物理,Effect_005_101,,,,
Skill_999_016,(バフキャンセル)：物理防御,1,015,アクティブ,2,2,物理,Effect_005_201,,,,
Skill_999_017,(バフキャンセル)：魔法攻撃,1,016,アクティブ,2,2,物理,Effect_005_301,,,,
Skill_999_018,(バフキャンセル)：魔法防御,1,017,アクティブ,2,2,物理,Effect_005_401,,,,
Skill_999_019,(バフキャンセル)：WAIT,1,018,アクティブ,2,2,物理,Effect_005_501,,,,
Skill_999_020,(バフキャンセル)：すべて,2,019,アクティブ,2,2,物理,Effect_005_601,,,,
Skill_999_021,(デバフキャンセル)：物理攻撃,2,020,アクティブ,2,2,物理,Effect_006_101,,,,
Skill_999_022,(デバフキャンセル)：物理防御,2,021,アクティブ,2,2,物理,Effect_006_201,,,,
Skill_999_023,(デバフキャンセル)：魔法攻撃,2,022,アクティブ,2,2,物理,Effect_006_301,,,,
Skill_999_024,(デバフキャンセル)：魔法防御,2,023,アクティブ,2,2,物理,Effect_006_401,,,,
Skill_999_025,(デバフキャンセル)：WAIT,2,024,アクティブ,2,2,物理,Effect_006_501,,,,
Skill_999_026,(デバフキャンセル)：すべて,2,025,アクティブ,2,2,物理,Effect_006_601,,,,
Skill_999_027,回復(複数体),2,026,アクティブ,2,2,物理,Effect_002_002,,,,
Skill_999_028,割合回復(複数体),2,027,アクティブ,2,2,物理,Effect_002_102,,,,
